greater,less,0,1,2,3,4,5,6,7,8,9,10
0.00,58.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58.00,93.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
93.00,128.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
128.00,163.00,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
163.00,198.00,1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
198.00,233.00,2.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
233.00,267.00,4.50,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
267.00,301.00,6.20,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
301.00,335.00,8.11,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
335.00,369.00,10.06,2.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
369.00,403.00,12.02,4.19,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
403.00,436.00,13.92,5.84,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
436.00,469.00,15.81,7.63,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
469.00,502.00,17.71,9.53,3.43,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00
502.00,535.00,19.61,11.43,5.02,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00
535.00,568.00,21.51,13.32,6.69,1.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00
568.00,600.00,23.35,15.16,8.53,2.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00
600.00,632.00,25.19,17.00,10.37,4.10,0.37,0.00,0.00,0.00,0.00,0.00,0.00
632.00,664.00,27.03,18.84,12.21,5.70,1.04,0.00,0.00,0.00,0.00,0.00,0.00
664.00,696.00,28.87,20.68,14.05,7.41,2.00,0.00,0.00,0.00,0.00,0.00,0.00
696.00,728.00,30.71,22.52,15.89,9.25,3.24,0.09,0.00,0.00,0.00,0.00,0.00
728.00,759.00,32.49,24.31,17.67,11.04,4.68,0.60,0.00,0.00,0.00,0.00,0.00
759.00,790.00,34.27,26.09,19.45,12.82,6.23,1.35,0.00,0.00,0.00,0.00,0.00
790.00,821.00,36.05,27.87,21.24,14.60,7.97,2.34,0.00,0.00,0.00,0.00,0.00
821.00,852.00,37.84,29.65,23.02,16.38,9.75,3.58,0.17,0.00,0.00,0.00,0.00
852.00,883.00,39.62,31.44,24.80,18.17,11.53,5.11,0.78,0.00,0.00,0.00,0.00
883.00,913.00,41.34,33.16,26.53,19.89,13.26,6.62,1.58,0.00,0.00,0.00,0.00
913.00,943.00,43.07,34.89,28.25,21.62,14.98,8.35,2.60,0.00,0.00,0.00,0.00
943.00,973.00,44.79,36.61,29.98,23.34,16.71,10.07,3.84,0.27,0.00,0.00,0.00
973.00,1003.00,46.52,38.34,31.70,25.07,18.43,11.80,5.34,0.87,0.00,0.00,0.00
1003.00,1033.00,48.24,40.06,33.43,26.79,20.16,13.52,6.89,1.72,0.00,0.00,0.00
1033.00,1062.00,49.91,41.73,35.09,28.46,21.82,15.19,8.56,2.75,0.00,0.00,0.00
1062.00,1091.00,51.58,43.40,36.76,30.13,23.49,16.86,10.22,3.97,0.32,0.00,0.00
1091.00,1120.00,53.25,45.06,38.43,31.79,25.16,18.53,11.89,5.42,0.90,0.00,0.00
1120.00,1149.00,54.91,46.73,40.10,33.46,26.83,20.19,13.56,6.92,1.74,0.00,0.00
1149.00,1178.00,56.58,48.40,41.76,35.13,28.49,21.86,15.23,8.59,2.77,0.00,0.00
1178.00,1206.00,58.19,50.01,43.37,36.74,30.10,23.47,16.84,10.20,3.95,0.31,0.00
1206.00,1234.00,59.80,51.62,44.98,38.35,31.71,25.08,18.45,11.81,5.35,0.87,0.00
1234.00,1262.00,61.41,53.23,46.59,39.96,33.32,26.69,20.06,13.42,6.79,1.67,0.00
1262.00,1290.00,63.02,54.84,48.20,41.57,34.93,28.30,21.67,15.03,8.40,2.64,0.00
1290.00,1318.00,64.63,56.45,49.81,43.18,36.54,29.91,23.28,16.64,10.01,3.78,0.24
1318.00,1345.00,66.18,58.00,51.37,44.73,38.10,31.46,24.83,18.19,11.56,5.13,0.78
1345.00,1372.00,67.74,59.55,52.92,46.28,39.65,33.02,26.38,19.75,13.11,6.48,1.51
1372.00,1399.00,69.29,61.11,54.47,47.84,41.20,34.57,27.93,21.30,14.66,8.03,2.38
1399.00,1426.00,70.84,62.66,56.02,49.39,42.75,36.12,29.49,22.85,16.22,9.58,3.46
1426.00,1453.00,72.39,64.21,57.58,50.94,44.31,37.67,31.04,24.40,17.77,11.13,4.77
1453.00,1479.00,73.89,65.71,59.07,52.44,45.80,39.17,32.53,25.90,19.26,12.63,6.07
1479.00,1505.00,75.38,67.20,60.57,53.93,47.30,40.66,34.03,27.39,20.76,14.12,7.49
1505.00,1531.00,76.88,68.70,62.06,55.43,48.79,42.16,35.52,28.89,22.25,15.62,8.98
1531.00,1557.00,78.37,70.19,63.56,56.92,50.29,43.65,37.02,30.38,23.75,17.11,10.48
1557.00,1583.00,79.87,71.69,65.05,58.42,51.78,45.15,38.51,31.88,25.24,18.61,11.97
1583.00,1608.00,81.31,73.12,66.49,59.85,53.22,46.59,39.95,33.32,26.68,20.05,13.41
1608.00,1633.00,82.74,74.56,67.93,61.29,54.66,48.02,41.39,34.75,28.12,21.48,14.85
1633.00,1658.00,84.18,76.00,69.36,62.73,56.09,49.46,42.83,36.19,29.56,22.92,16.29
1658.00,1683.00,85.62,77.44,70.80,64.17,57.53,50.90,44.26,37.63,30.99,24.36,17.72
1683.00,1708.00,87.06,78.87,72.24,65.60,58.97,52.34,45.70,39.07,32.43,25.80,19.16
1708.00,1732.00,88.44,80.25,73.62,66.98,60.35,53.72,47.08,40.45,33.81,27.18,20.54
1732.00,1756.00,89.82,81.63,75.00,68.36,61.73,55.10,48.46,41.83,35.19,28.56,21.92
1756.00,1780.00,91.20,83.01,76.38,69.74,63.11,56.48,49.84,43.21,36.57,29.94,23.30
1780.00,1804.00,92.58,84.39,77.76,71.12,64.49,57.86,51.22,44.59,37.95,31.32,24.68
1804.00,1828.00,93.96,85.77,79.14,72.50,65.87,59.24,52.60,45.97,39.33,32.70,26.06
1828.00,1851.00,95.28,87.10,80.46,73.83,67.19,60.56,53.92,47.29,40.65,34.02,27.38
1851.00,1874.00,96.60,88.42,81.78,75.15,68.51,61.88,55.25,48.61,41.98,35.34,28.71
1874.00,1897.00,97.92,89.74,83.11,76.47,69.84,63.20,56.57,49.93,43.30,36.66,30.03
1897.00,1920.00,99.25,91.06,84.43,77.79,71.16,64.53,57.89,51.26,44.62,37.99,31.35
