greater,less,0,1,2,3,4,5,6,7,8,9,10
0.00,89.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89.00,124.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
124.00,159.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159.00,194.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
194.00,229.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
229.00,264.00,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
264.00,298.00,2.48,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
298.00,332.00,3.61,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
332.00,366.00,4.97,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
366.00,400.00,6.54,2.42,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
400.00,434.00,8.24,3.53,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
434.00,467.00,10.04,4.85,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
467.00,500.00,11.94,6.35,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
500.00,533.00,13.84,8.00,2.95,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00
533.00,566.00,15.74,9.77,4.20,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
566.00,599.00,17.63,11.66,5.53,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00
599.00,631.00,19.47,13.50,7.13,2.43,0.04,0.00,0.00,0.00,0.00,0.00,0.00
631.00,663.00,21.31,15.34,8.73,3.46,0.43,0.00,0.00,0.00,0.00,0.00,0.00
663.00,695.00,23.15,17.18,10.55,4.74,1.07,0.00,0.00,0.00,0.00,0.00,0.00
695.00,727.00,24.99,19.02,12.39,6.16,1.85,0.00,0.00,0.00,0.00,0.00,0.00
727.00,759.00,26.83,20.86,14.23,7.76,2.81,0.17,0.00,0.00,0.00,0.00,0.00
759.00,790.00,28.62,22.65,16.01,9.38,3.93,0.67,0.00,0.00,0.00,0.00,0.00
790.00,821.00,30.40,24.43,17.79,11.16,5.17,1.29,0.00,0.00,0.00,0.00,0.00
821.00,852.00,32.18,26.21,19.58,12.94,6.64,2.14,0.00,0.00,0.00,0.00,0.00
852.00,883.00,33.96,27.99,21.36,14.72,8.19,3.07,0.25,0.00,0.00,0.00,0.00
883.00,914.00,35.75,29.78,23.14,16.51,9.87,4.27,0.84,0.00,0.00,0.00,0.00
914.00,944.00,37.47,31.50,24.87,18.23,11.60,5.47,1.44,0.00,0.00,0.00,0.00
944.00,974.00,39.20,33.23,26.59,19.96,13.32,6.97,2.34,0.01,0.00,0.00,0.00
974.00,1004.00,40.92,34.95,28.32,21.68,15.05,8.47,3.26,0.33,0.00,0.00,0.00
1004.00,1034.00,42.65,36.68,30.04,23.41,16.77,10.14,4.46,0.93,0.00,0.00,0.00
1034.00,1064.00,44.37,38.40,31.77,25.13,18.50,11.86,5.70,1.57,0.00,0.00,0.00
1064.00,1093.00,46.04,40.07,33.43,26.80,20.16,13.53,7.15,2.44,0.05,0.00,0.00
1093.00,1122.00,47.71,41.74,35.10,28.47,21.83,15.20,8.60,3.36,0.38,0.00,0.00
1122.00,1151.00,49.37,43.40,36.77,30.13,23.50,16.87,10.23,4.52,0.96,0.00,0.00
1151.00,1180.00,51.04,45.07,38.44,31.80,25.17,18.53,11.90,5.73,1.59,0.00,0.00
1180.00,1209.00,52.71,46.74,40.10,33.47,26.83,20.20,13.57,7.18,2.46,0.05,0.00
1209.00,1237.00,54.32,48.35,41.71,35.08,28.44,21.81,15.18,8.58,3.35,0.37,0.00
1237.00,1265.00,55.93,49.96,43.32,36.69,30.05,23.42,16.79,10.15,4.47,0.93,0.00
1265.00,1293.00,57.54,51.57,44.93,38.30,31.66,25.03,18.40,11.76,5.61,1.52,0.00
1293.00,1321.00,59.15,53.18,46.54,39.91,33.27,26.64,20.01,13.37,7.01,2.36,0.02
1321.00,1349.00,60.76,54.79,48.15,41.52,34.88,28.25,21.62,14.98,8.41,3.21,0.31
1349.00,1376.00,62.31,56.34,49.71,43.07,36.44,29.80,23.17,16.53,9.90,4.29,0.85
1376.00,1403.00,63.86,57.89,51.26,44.62,37.99,31.36,24.72,18.09,11.45,5.37,1.39
1403.00,1430.00,65.42,59.45,52.81,46.18,39.54,32.91,26.27,19.64,13.00,6.69,2.17
1430.00,1457.00,66.97,61.00,54.36,47.73,41.09,34.46,27.83,21.19,14.56,8.04,2.98
1457.00,1484.00,68.52,62.55,55.92,49.28,42.65,36.01,29.38,22.74,16.11,9.47,3.99
1484.00,1510.00,70.02,64.05,57.41,50.78,44.14,37.51,30.87,24.24,17.60,10.97,5.03
1510.00,1536.00,71.51,65.54,58.91,52.27,45.64,39.00,32.37,25.73,19.10,12.46,6.22
1536.00,1562.00,73.01,67.04,60.40,53.77,47.13,40.50,33.86,27.23,20.59,13.96,7.52
1562.00,1588.00,74.50,68.53,61.90,55.26,48.63,41.99,35.36,28.72,22.09,15.45,8.82
1588.00,1614.00,76.00,70.03,63.39,56.76,50.12,43.49,36.85,30.22,23.58,16.95,10.31
1614.00,1639.00,77.43,71.46,64.83,58.19,51.56,44.93,38.29,31.66,25.02,18.39,11.75
1639.00,1664.00,78.87,72.90,66.27,59.63,53.00,46.36,39.73,33.09,26.46,19.82,13.19
1664.00,1689.00,80.31,74.34,67.70,61.07,54.43,47.80,41.17,34.53,27.90,21.26,14.63
1689.00,1714.00,81.75,75.78,69.14,62.51,55.87,49.24,42.60,35.97,29.33,22.70,16.06
1714.00,1739.00,83.18,77.21,70.58,63.94,57.31,50.68,44.04,37.41,30.77,24.14,17.50
1739.00,1763.00,84.56,78.59,71.96,65.32,58.69,52.06,45.42,38.79,32.15,25.52,18.88
1763.00,1787.00,85.94,79.97,73.34,66.70,60.07,53.44,46.80,40.17,33.53,26.90,20.26
1787.00,1811.00,87.32,81.35,74.72,68.08,61.45,54.82,48.18,41.55,34.91,28.28,21.64
1811.00,1835.00,88.70,82.73,76.10,69.46,62.83,56.20,49.56,42.93,36.29,29.66,23.02
1835.00,1859.00,90.08,84.11,77.48,70.84,64.21,57.58,50.94,44.31,37.67,31.04,24.40
1859.00,1882.00,91.41,85.44,78.80,72.17,65.53,58.90,52.26,45.63,38.99,32.36,25.72
1882.00,1905.00,92.73,86.76,80.12,73.49,66.85,60.22,53.59,46.95,40.32,33.68,27.05
1905.00,1928.00,94.05,88.08,81.45,74.81,68.18,61.54,54.91,48.27,41.64,35.00,28.37
1928.00,1951.00,95.37,89.40,82.77,76.13,69.50,62.87,56.23,49.60,42.96,36.33,29.69
